,pov6
10269,1
6535,1
6198,1
3086,1
10752,1
16896,1
12396,6
12950,1
3131,1
191,1
7645,5
16875,1
15154,1
10431,1
352,1
4583,3
12501,1
16378,1
2829,2
7648,1
4665,1
7089,1
9428,1
6593,4
13740,1
2105,2
24,2
1228,1
10461,2
13782,1
16249,1
12995,2
16859,1
716,1
6936,1
11082,1
10282,1
3893,1
11417,1
12786,1
10591,1
3730,1
15253,1
6611,1
12541,2
10980,1
15865,1
3589,1
6946,1
3432,1
7353,1
14011,1
16164,1
1678,6
2103,2
2549,1
6438,1
2059,1
9248,1
10426,1
1423,1
8726,6
15143,1
5935,1
7596,2
13002,1
13937,1
1840,4
16149,1
11299,1
17030,1
4304,2
11915,1
7294,1
17904,2
15242,1
9045,1
244,1
1815,1
1036,1
763,1
9472,1
16115,1
12853,1
7252,2
15557,1
11502,1
6099,2
14719,2
5968,1
16934,1
16909,1
11605,2
11059,2
5296,1
628,2
17832,1
6473,1
179,1
5960,2
15314,1
18268,2
6351,2
17290,2
5825,1
4833,2
6596,3
2795,4
16070,1
7525,1
5739,2
4732,2
17849,1
7012,1
12218,2
15375,2
2098,1
12539,1
10900,1
4110,1
2749,2
12540,1
1268,2
1655,1
13128,1
17783,2
15320,1
2423,1
16870,1
3580,1
15825,1
4881,1
17905,2
9069,1
1916,1
6359,1
5593,1
13513,1
8441,1
8589,1
9389,2
13397,1
5864,1
4793,1
14500,1
15535,1
8822,1
15268,1
14030,1
9870,1
12808,2
13503,1
13407,1
10586,1
10218,1
9119,2
15205,1
15936,2
6009,1
870,1
12558,1
16559,1
10911,1
15790,2
6891,3
7911,2
947,1
5002,1
13816,3
6881,1
13164,1
15267,2
10716,1
674,1
18241,1
5809,1
5437,1
10648,3
7915,2
4552,1
4542,1
2511,1
1935,1
4969,2
3751,6
1687,1
12948,1
9002,1
3568,2
10392,1
8112,1
2924,2
8698,1
15167,1
11971,1
11945,1
16565,1
8206,6
6825,1
4733,1
9859,2
17450,1
17326,1
11932,1
3614,1
8893,1
5951,2
10453,2
2235,1
4307,1
5719,1
7396,1
10362,1
4039,1
17644,1
1756,1
8861,1
3329,1
13853,1
1237,2
3049,1
1536,1
13938,1
17264,1
10485,1
9407,1
17293,1
13363,2
344,1
9251,1
1605,2
2154,1
7094,2
15174,1
2095,1
13587,1
16279,1
11143,1
14516,2
8555,1
4824,1
14294,1
6333,1
17632,1
9737,1
16258,1
8336,1
17496,1
13973,1
17031,1
16784,1
912,2
15511,1
15015,1
1413,1
17872,1
7144,1
4167,1
15900,1
12241,1
14050,1
14553,1
16638,2
5642,1
6786,1
10476,1
88,1
5886,2
11016,1
15629,1
7718,2
3437,1
4712,1
13936,1
11215,1
6719,1
11046,5
4805,1
2536,1
2291,2
1719,2
17419,1
7759,1
14212,2
14363,1
3167,2
2397,1
16528,2
13305,1
7080,1
7232,1
1271,1
861,2
454,3
11413,1
3431,1
964,1
10348,6
9604,1
10709,1
2673,1
13639,1
7809,1
9882,1
1387,1
1837,1
312,1
1284,1
10227,1
4289,1
7931,1
8940,2
6245,5
14811,2
12299,1
7808,1
12607,2
9621,1
7330,1
16649,1
3662,1
10692,1
16937,1
3867,6
3802,2
10807,1
3073,1
17771,2
4371,1
5330,1
8818,1
13511,2
16139,1
14064,2
6289,1
12812,2
7411,1
12450,1
13210,1
15548,2
12705,1
5485,1
6171,1
12767,1
10343,1
10884,1
7658,3
8208,1
4177,2
18147,1
4226,1
2071,1
428,2
3169,4
8382,1
16741,2
13245,1
13177,1
5537,1
3067,1
6049,1
10934,1
2132,1
15784,1
4577,1
14561,2
5434,1
16752,1
12885,1
6177,1
16837,2
2037,1
4092,1
12654,1
8413,1
3921,1
1526,1
3199,1
1328,1
10786,1
16694,1
15322,1
2338,1
3836,1
6160,1
6489,4
837,1
552,1
15000,1
14288,2
12019,1
16531,1
10452,6
18007,1
4628,1
12350,1
4350,1
4493,2
10654,1
14377,1
3215,1
8657,1
14775,2
18017,1
14290,1
9892,1
1900,1
2072,2
2832,2
16186,1
16618,1
12563,1
13555,1
8093,1
355,1
15093,2
16864,1
16894,1
14353,2
4398,1
2102,1
7772,2
4854,1
1171,1
6443,1
11096,1
13158,1
12303,1
447,1
6318,1
2386,1
5221,5
3972,2
6021,1
17797,2
6241,1
5629,1
10855,1
5662,2
18061,2
18341,1
5440,2
3474,1
4914,1
3632,1
13124,1
9979,1
5094,1
3387,1
1292,2
9070,1
13549,1
650,1
14304,2
6723,1
15836,2
17914,2
16176,1
15925,1
5232,1
6724,1
1475,2
13728,1
6097,2
16577,1
4013,1
16361,1
15627,1
17134,2
5625,1
1945,4
17182,1
16217,1
7392,1
2130,1
15563,1
7699,2
12878,2
5673,1
13254,1
5876,1
5172,2
18187,2
3172,2
9609,1
10808,2
13613,1
13243,2
14927,2
16027,1
4019,1
9926,1
12757,2
1204,1
6062,1
3151,1
18371,1
14493,1
10638,1
6524,1
3548,1
11494,1
17649,1
15012,1
12237,1
10939,2
2570,1
7038,1
5449,1
16708,5
6914,1
11442,2
127,1
3030,1
9630,1
14659,1
10468,1
653,1
328,1
12998,2
5459,2
8525,1
9212,1
15311,1
17405,1
6319,1
15630,1
12355,1
91,1
8570,1
2021,1
17296,1
1846,1
1923,1
12620,2
6923,2
13291,1
14889,1
8141,1
6642,1
17225,1
2658,2
17882,2
17108,1
11258,1
4683,1
10451,1
2292,1
11101,1
14310,1
1513,2
523,1
11556,1
16098,1
8203,1
6973,1
5145,1
15199,2
7341,1
13975,1
6921,2
8345,2
8775,3
15120,1
9771,1
422,1
4108,1
12895,2
77,1
5549,1
15187,1
12285,3
5970,1
13893,1
7630,1
12711,1
10997,1
8252,2
4351,1
9113,1
14354,2
8521,1
6301,2
1922,1
12086,1
11340,1
16306,1
16328,1
12598,5
10212,2
11767,2
1808,2
7021,1
1312,1
9661,1
16759,4
10804,1
2751,1
3815,1
18053,2
18096,2
7399,1
14543,2
15218,1
15468,1
12354,6
2521,1
1223,1
1940,1
390,1
9658,1
6916,1
5735,1
4519,1
2590,1
17939,1
13435,1
3642,1
15727,1
415,1
13575,1
4859,2
2709,1
6566,1
4132,1
11594,1
3200,1
7063,2
5945,1
15906,1
3615,1
10158,1
4312,1
10523,1
5865,1
5311,1
7706,1
16352,1
15976,2
17813,1
7161,2
16783,1
3223,2
10016,6
7238,1
930,2
1637,1
21,1
10758,1
4217,1
11737,2
4654,1
17841,1
9832,1
4156,1
16504,1
13041,1
11693,1
6432,1
17511,1
13127,1
16478,1
7257,2
10614,1
4999,2
2967,1
14468,2
1278,3
14291,1
5753,1
17334,1
6511,1
15926,1
8115,1
4520,1
7819,1
12301,1
7490,1
8782,1
15439,1
10891,1
1685,1
553,1
13187,2
7137,1
16976,1
10315,1
9056,1
12594,1
16121,1
2875,1
9232,1
17071,1
881,1
9852,1
12186,1
3654,1
16575,1
7698,2
7858,2
15604,1
16240,1
13322,1
14417,1
1944,2
16791,6
1977,1
10996,2
18025,1
14876,2
6113,1
618,2
